minute,pts_in,pts_out
1105,1118.0,701.0
1106,1084.0,724.0
1107,1124.0,766.0
1108,1186.0,690.0
1109,1182.0,699.0
1110,1143.0,698.0
1111,1144.0,786.0
1112,1097.0,755.0
1113,1146.0,786.0
1114,1081.0,785.0
1115,1141.0,801.0
1116,1201.0,743.0
1117,1135.0,779.0
1118,1156.0,760.0
1119,1128.0,717.0
1120,1089.0,755.0
1121,1161.0,764.0
1122,1156.0,799.0
1123,1176.0,808.0
1124,1223.0,731.0
1125,1246.0,853.0
1126,1109.0,833.0
1127,1148.0,753.0
1128,1230.0,735.0
1129,1192.0,732.0
1130,1212.0,803.0
1131,1185.0,802.0
1132,1253.0,811.0
1133,1214.0,843.0
1134,1313.0,823.0
1135,1293.0,885.0
1136,1255.0,852.0
1137,1247.0,838.0
1138,1366.0,834.0
1139,1320.0,780.0
1140,1316.0,775.0
1141,1257.0,779.0
1142,1274.0,772.0
1143,1236.0,776.0
1144,1239.0,775.0
1145,1283.0,827.0
1146,1206.0,810.0
1147,1260.0,833.0
1148,1246.0,876.0
1149,1218.0,841.0
1150,1226.0,824.0
1151,1251.0,830.0
1152,1217.0,798.0
1153,1197.0,843.0
1154,1240.0,841.0
1155,1291.0,798.0
1156,1288.0,817.0
1157,1211.0,798.0
1158,1201.0,725.0
1159,1260.0,764.0
1160,1191.0,769.0
1161,1149.0,761.0
1162,1216.0,825.0
1163,1146.0,793.0
1164,1133.0,850.0
1165,1150.0,769.0
1166,1140.0,752.0
